日期,编程,交易,健身,读书
2022-04-23,1,0,1,1
2022-04-24,1,0,0,0
2022-04-25,1,0,0,1
2022-04-26,1,0,1,1
2022-04-27,1,1,1,1
2022-04-28,1,0,1,1
2022-04-29,1,1,0,1
2022-04-30,1,1,1,1
2022-05-01,1,0,1,1
2022-05-02,1,1,0,1
2022-05-03,0,1,1,1
2022-05-04,1,1,0,1
2022-05-05,1,0,0,0
2022-05-06,1,1,0,0
2022-05-07,1,0,0,0
2022-05-08,0,0,1,1
2022-05-09,1,0,0,1
2022-05-10,1,0,0,1
2022-05-11,1,0,0,1
2022-05-12,1,0,1,1
2022-05-13,1,0,0,1
2022-05-14,1,0,0,0
2022-05-15,1,0,1,0
2022-05-16,1,0,1,0
2022-05-17,1,0,0,1
2022-05-18,1,0,1,1
2022-05-19,1,0,1,1
2022-05-20,1,0,0,1
2022-05-21,1,1,1,1
2022-05-22,1,0,0,1
2022-05-23,1,0,1,1
2022-05-24,1,1,0,1
2022-05-25,1,1,1,1
2022-05-26,1,1,1,1
2022-05-27,1,1,1,1
2022-05-28,1,1,0,1
2022-05-29,1,1,0,1
2022-05-30,1,1,0,1
2022-05-31,1,1,1,1
2022-06-01,1,0,1,1
2022-06-02,1,1,0,0
2022-06-03,1,1,0,0
2022-06-04,1,1,1,0
2022-06-05,1,1,1,1
2022-06-06,1,1,0,1
2022-06-07,1,1,1,0
2022-06-08,1,0,0,0
2022-06-09,1,1,1,1
2022-06-10,1,1,1,1
2022-06-11,1,0,0,0
2022-06-12,1,0,1,0
2022-06-13,1,1,0,0
2022-06-14,1,0,0,0
2022-06-15,1,0,1,0
2022-06-16,1,0,1,0
2022-06-17,1,0,0,0
2022-06-18,1,0,1,0
2022-06-19,1,0,0,1
2022-06-20,1,0,1,1
2022-06-21,1,0,1,1
2022-06-22,1,0,0,1
2022-06-23,1,0,0,0
